scientificName,scientificNameAuthorship,scientificNameLabel,family,vernacularName,disperser,species_origin,seed_length_mm,seed_width_mm,treatment,experiment,germination_setup,germination_state,germination_date,germination_time,damaged_seed,seedling_length_mm
psidium_cattleianum,Sabine,Psidium cattleianum,myrtaceae,goavitsinahy,microcebus_rufus,non-native,4.2,3,defecated,Petri dish,4/11/18,yes,5/26/18,44,yes,0
psidium_cattleianum,Sabine,Psidium cattleianum,myrtaceae,goavitsinahy,microcebus_rufus,non-native,4.2,2.5,defecated,Petri dish,4/11/18,no,5/5/18,n/a,yes,n/a
psidium_cattleianum,Sabine,Psidium cattleianum,myrtaceae,goavitsinahy,microcebus_rufus,non-native,4,2,defecated,Petri dish,4/11/18,no,5/5/18,n/a,yes,n/a
psidium_cattleianum,Sabine,Psidium cattleianum,myrtaceae,goavitsinahy,microcebus_rufus,non-native,3,2.4,defecated,Forest ground,4/1/18,yes,5/5/18,33,no,30
psidium_cattleianum,Sabine,Psidium cattleianum,myrtaceae,goavitsinahy,microcebus_rufus,non-native,5.1,3,defecated,Forest ground,4/1/18,yes,5/5/18,33,no,30
psidium_cattleianum,Sabine,Psidium cattleianum,myrtaceae,goavitsinahy,microcebus_rufus,non-native,5.1,2.9,defecated,Forest ground,4/1/18,yes,5/5/18,33,no,30
psidium_cattleianum,Sabine,Psidium cattleianum,myrtaceae,goavitsinahy,microcebus_rufus,non-native,4.5,3,defecated,Forest ground,4/1/18,yes,5/5/18,33,no,30
psidium_cattleianum,Sabine,Psidium cattleianum,myrtaceae,goavitsinahy,microcebus_rufus,non-native,5.1,3,defecated,Forest ground,4/11/18,yes,5/5/18,23,yes,30
psidium_cattleianum,Sabine,Psidium cattleianum,myrtaceae,goavitsinahy,microcebus_rufus,non-native,4,3,defecated,Forest ground,4/11/18,yes,5/5/18,23,no,30
psidium_cattleianum,Sabine,Psidium cattleianum,myrtaceae,goavitsinahy,microcebus_rufus,non-native,4,3,defecated,Forest ground,4/11/18,yes,5/5/18,23,no,30
psidium_cattleianum,Sabine,Psidium cattleianum,myrtaceae,goavitsinahy,microcebus_rufus,non-native,4.1,2,defecated,Forest ground,4/11/18,no,7/13/18,n/a,no,n/a
psidium_cattleianum,Sabine,Psidium cattleianum,myrtaceae,goavitsinahy,microcebus_rufus,non-native,4.1,1.1,defecated,Forest ground,4/11/18,no,7/13/18,n/a,no,n/a
psidium_cattleianum,Sabine,Psidium cattleianum,myrtaceae,goavitsinahy,microcebus_rufus,non-native,2.1,1,defecated,Forest ground,4/11/18,no,8/3/18,n/a,no,n/a
psidium_cattleianum,Sabine,Psidium cattleianum,myrtaceae,goavitsinahy,microcebus_rufus,non-native,4,2.2,defecated,Forest ground,4/11/18,no,8/10/18,n/a,no,n/a
embelia_concinna,Baker,Embelia concinna,primulaceae,kalamasina,microcebus_rufus,native,3.2,2.5,defecated,Petri dish,7/17/17,yes,9/7/17,51,no,35
embelia_concinna,Baker,Embelia concinna,primulaceae,kalamasina,microcebus_rufus,native,3.2,2.5,defecated,Petri dish,7/17/17,yes,9/7/17,51,no,35
embelia_concinna,Baker,Embelia concinna,primulaceae,kalamasina,microcebus_rufus,native,3.3,2.3,defecated,Petri dish,7/17/17,yes,9/7/17,51,no,35
embelia_concinna,Baker,Embelia concinna,primulaceae,kalamasina,microcebus_rufus,native,3.2,2,defecated,Petri dish,7/17/17,yes,9/7/17,51,no,35
embelia_concinna,Baker,Embelia concinna,primulaceae,kalamasina,microcebus_rufus,native,3.1,2.3,defecated,Petri dish,7/17/17,yes,9/14/17,58,no,80
embelia_concinna,Baker,Embelia concinna,primulaceae,kalamasina,microcebus_rufus,native,3.3,2.7,defecated,Petri dish,7/17/17,yes,9/14/17,58,no,15
embelia_concinna,Baker,Embelia concinna,primulaceae,kalamasina,microcebus_rufus,native,3.5,2.3,defecated,Petri dish,7/17/17,yes,9/21/17,65,no,10
embelia_concinna,Baker,Embelia concinna,primulaceae,kalamasina,microcebus_rufus,native,3.2,2.7,defecated,Petri dish,7/17/17,yes,9/21/17,65,no,30
embelia_concinna,Baker,Embelia concinna,primulaceae,kalamasina,microcebus_rufus,native,3.5,2.5,defecated,Petri dish,7/17/17,no,n/a,n/a,no,n/a
embelia_concinna,Baker,Embelia concinna,primulaceae,kalamasina,microcebus_rufus,native,3.1,2,defecated,Petri dish,7/17/17,no,n/a,n/a,no,n/a
embelia_concinna,Baker,Embelia concinna,primulaceae,kalamasina,microcebus_rufus,native,3.5,2.7,defecated,Forest ground,2/24/18,no,n/a,n/a,no,n/a
embelia_concinna,Baker,Embelia concinna,primulaceae,kalamasina,microcebus_rufus,native,3.3,2.3,defecated,Forest ground,2/24/18,no,n/a,n/a,no,n/a
embelia_concinna,Baker,Embelia concinna,primulaceae,kalamasina,microcebus_rufus,native,3.2,2.7,defecated,Forest ground,2/24/18,no,n/a,n/a,no,n/a
embelia_concinna,Baker,Embelia concinna,primulaceae,kalamasina,microcebus_rufus,native,3.1,2.7,defecated,Forest ground,2/24/18,no,n/a,n/a,no,n/a
embelia_concinna,Baker,Embelia concinna,primulaceae,kalamasina,microcebus_rufus,native,3.5,2.5,defecated,Forest ground,2/24/18,no,n/a,n/a,no,n/a
embelia_concinna,Baker,Embelia concinna,primulaceae,kalamasina,microcebus_rufus,native,3.2,2.3,defecated,Forest ground,2/24/18,no,n/a,n/a,no,n/a
embelia_concinna,Baker,Embelia concinna,primulaceae,kalamasina,microcebus_rufus,native,3.3,2,defecated,Forest ground,2/24/18,no,n/a,n/a,no,n/a
embelia_concinna,Baker,Embelia concinna,primulaceae,kalamasina,microcebus_rufus,native,3.5,2.7,defecated,Forest ground,2/24/18,no,n/a,n/a,no,n/a
embelia_concinna,Baker,Embelia concinna,primulaceae,kalamasina,microcebus_rufus,native,3.1,2.3,defecated,Forest ground,2/24/18,no,n/a,n/a,no,n/a
embelia_concinna,Baker,Embelia concinna,primulaceae,kalamasina,microcebus_rufus,native,3,2,defecated,Forest ground,2/24/18,no,n/a,n/a,no,n/a
burasaia_madagascariensis,DC.,Burasaia madagascariensis,menispermaceae,masomposaina,microcebus_rufus,native,4,4,defecated,Petri dish,7/17/17,yes,9/14/17,58,no,5
burasaia_madagascariensis,DC.,Burasaia madagascariensis,menispermaceae,masomposaina,microcebus_rufus,native,4,3.9,defecated,Petri dish,7/17/17,yes,n/a,n/a,no,0
burasaia_madagascariensis,DC.,Burasaia madagascariensis,menispermaceae,masomposaina,microcebus_rufus,native,4.1,3.8,defecated,Petri dish,7/17/17,yes,n/a,n/a,no,0
burasaia_madagascariensis,DC.,Burasaia madagascariensis,menispermaceae,masomposaina,microcebus_rufus,native,4,4,defecated,Petri dish,7/17/17,yes,n/a,n/a,no,0
clidemia_hirta,D.Don,Clidemia hirta,melastomataceae,mazambody,microcebus_jollyae,non-native,0.57,0.4,defecated,Petri dish,4/23/18,no,n/a,n/a,yes,n/a
clidemia_hirta,D.Don,Clidemia hirta,melastomataceae,mazambody,microcebus_jollyae,non-native,0.57,0.4,defecated,Petri dish,4/23/18,no,n/a,n/a,yes,n/a
clidemia_hirta,D.Don,Clidemia hirta,melastomataceae,mazambody,microcebus_jollyae,non-native,0.57,0.4,defecated,Petri dish,4/23/18,no,n/a,n/a,yes,n/a
clidemia_hirta,D.Don,Clidemia hirta,melastomataceae,mazambody,microcebus_jollyae,non-native,0.57,0.4,defecated,Petri dish,4/23/18,no,n/a,n/a,yes,n/a
clidemia_hirta,D.Don,Clidemia hirta,melastomataceae,mazambody,microcebus_jollyae,non-native,0.57,0.4,defecated,Petri dish,4/23/18,no,n/a,n/a,yes,n/a
clidemia_hirta,D.Don,Clidemia hirta,melastomataceae,mazambody,microcebus_jollyae,non-native,0.57,0.4,defecated,Petri dish,4/23/18,no,n/a,n/a,yes,n/a
clidemia_hirta,D.Don,Clidemia hirta,melastomataceae,mazambody,microcebus_jollyae,non-native,0.57,0.4,defecated,Petri dish,4/23/18,no,n/a,n/a,yes,n/a
